Algorithm,DataType,Distribution,Size,Time(s)
InsertionSort,float,almost_sorted,100000,TIMEOUT
InsertionSort,float,almost_sorted,1000000,TIMEOUT
InsertionSort,float,half_sorted,10,0.0000
InsertionSort,float,half_sorted,100,0.0000
InsertionSort,float,half_sorted,1000,0.0010
InsertionSort,float,half_sorted,10000,0.0810
InsertionSort,float,half_sorted,100000,TIMEOUT
InsertionSort,float,half_sorted,1000000,TIMEOUT
InsertionSort,float,flat,10,0.0000
InsertionSort,float,flat,100,0.0000
InsertionSort,float,flat,1000,0.0000
InsertionSort,float,flat,10000,0.0560
InsertionSort,float,flat,100000,TIMEOUT
InsertionSort,float,flat,1000000,TIMEOUT
InsertionSort,string,random,10,0.0000
InsertionSort,string,random,100,0.0000
InsertionSort,string,random,1000,0.0040
InsertionSort,string,random,10000,TIMEOUT
InsertionSort,string,random,100000,TIMEOUT
InsertionSort,string,random,1000000,TIMEOUT
InsertionSort,string,sorted,10,0.0000
InsertionSort,string,sorted,100,0.0000
InsertionSort,string,sorted,1000,0.0000
InsertionSort,string,sorted,10000,TIMEOUT
InsertionSort,string,sorted,100000,TIMEOUT
InsertionSort,string,sorted,1000000,TIMEOUT
InsertionSort,string,reverse,10,0.0000
InsertionSort,string,reverse,100,0.0000
InsertionSort,string,reverse,1000,0.0060
InsertionSort,string,reverse,10000,TIMEOUT
InsertionSort,string,reverse,100000,TIMEOUT
InsertionSort,string,reverse,1000000,TIMEOUT
InsertionSort,string,almost_sorted,10,0.0000
InsertionSort,string,almost_sorted,100,0.0000
InsertionSort,string,almost_sorted,1000,0.0000
InsertionSort,string,almost_sorted,10000,TIMEOUT
InsertionSort,string,almost_sorted,100000,TIMEOUT
InsertionSort,string,almost_sorted,1000000,TIMEOUT
InsertionSort,string,half_sorted,10,0.0000
InsertionSort,string,half_sorted,100,0.0000
InsertionSort,string,half_sorted,1000,0.0000
InsertionSort,string,half_sorted,10000,TIMEOUT
InsertionSort,string,half_sorted,100000,TIMEOUT
InsertionSort,string,half_sorted,1000000,TIMEOUT
InsertionSort,string,flat,10,0.0000
InsertionSort,string,flat,100,0.0000
InsertionSort,string,flat,1000,0.0020
InsertionSort,string,flat,10000,TIMEOUT
InsertionSort,string,flat,100000,TIMEOUT
InsertionSort,string,flat,1000000,TIMEOUT
QuickSort,int,random,10,0.0000
QuickSort,int,random,100,0.0000
QuickSort,int,random,1000,0.0000
QuickSort,int,random,10000,0.0030
QuickSort,int,random,100000,0.0270
QuickSort,int,random,1000000,0.2380
QuickSort,int,sorted,10,0.0000
QuickSort,int,sorted,100,0.0000
QuickSort,int,sorted,1000,0.0000
QuickSort,int,sorted,10000,0.0010
QuickSort,int,sorted,100000,0.0240
QuickSort,int,sorted,1000000,0.4850
QuickSort,int,reverse,10,0.0000
QuickSort,int,reverse,100,0.0000
QuickSort,int,reverse,1000,0.0000
QuickSort,int,reverse,10000,0.0020
QuickSort,int,reverse,100000,0.0280
QuickSort,int,reverse,1000000,0.6550
QuickSort,int,almost_sorted,10,0.0000
QuickSort,int,almost_sorted,100,0.0000
QuickSort,int,almost_sorted,1000,0.0000
QuickSort,int,almost_sorted,10000,0.0010
QuickSort,int,almost_sorted,100000,0.0260
QuickSort,int,almost_sorted,1000000,0.5100
QuickSort,int,half_sorted,10,0.0000
QuickSort,int,half_sorted,100,0.0000
QuickSort,int,half_sorted,1000,0.0000
QuickSort,int,half_sorted,10000,0.0030
QuickSort,int,half_sorted,100000,0.0250
QuickSort,int,half_sorted,1000000,0.2870
QuickSort,int,flat,10,0.0000
QuickSort,int,flat,100,0.0000
QuickSort,int,flat,1000,0.0010
QuickSort,int,flat,10000,0.0000
QuickSort,int,flat,100000,0.0040
QuickSort,int,flat,1000000,0.0250
QuickSort,float,random,10,0.0000
QuickSort,float,random,100,0.0000
QuickSort,float,random,1000,0.0000
QuickSort,float,random,10000,0.0020
QuickSort,float,random,100000,0.0270
QuickSort,float,random,1000000,0.2310
QuickSort,float,sorted,10,0.0000
QuickSort,float,sorted,100,0.0000
QuickSort,float,sorted,1000,0.0020
QuickSort,float,sorted,10000,0.0030
QuickSort,float,sorted,100000,0.0220
QuickSort,float,sorted,1000000,0.4870
QuickSort,float,reverse,10,0.0000
QuickSort,float,reverse,100,0.0000
QuickSort,float,reverse,1000,0.0000
QuickSort,float,reverse,10000,0.0030
QuickSort,float,reverse,100000,0.0240
QuickSort,float,reverse,1000000,0.7110
QuickSort,float,almost_sorted,10,0.0000
QuickSort,float,almost_sorted,100,0.0000
QuickSort,float,almost_sorted,1000,0.0000
QuickSort,float,almost_sorted,10000,0.0010
QuickSort,float,almost_sorted,100000,0.0250
QuickSort,float,almost_sorted,1000000,0.4670
QuickSort,float,half_sorted,10,0.0000
QuickSort,float,half_sorted,100,0.0000
QuickSort,float,half_sorted,1000,0.0000
QuickSort,float,half_sorted,10000,0.0030
QuickSort,float,half_sorted,100000,0.0230
QuickSort,float,half_sorted,1000000,0.3620
QuickSort,float,flat,10,0.0000
QuickSort,float,flat,100,0.0000
QuickSort,float,flat,1000,0.0000
QuickSort,float,flat,10000,0.0010
QuickSort,float,flat,100000,0.0030
QuickSort,float,flat,1000000,0.0290
QuickSort,string,random,10,0.0000
QuickSort,string,random,100,0.0000
QuickSort,string,random,1000,0.0000
QuickSort,string,random,10000,0.0040
QuickSort,string,random,100000,0.0510
QuickSort,string,random,1000000,0.8920
QuickSort,string,sorted,10,0.0000
QuickSort,string,sorted,100,0.0000
QuickSort,string,sorted,1000,0.0000
QuickSort,string,sorted,10000,0.0030
QuickSort,string,sorted,100000,0.0820
QuickSort,string,sorted,1000000,3.5810
QuickSort,string,reverse,10,0.0000
QuickSort,string,reverse,100,0.0000
QuickSort,string,reverse,1000,0.0000
QuickSort,string,reverse,10000,0.0040
QuickSort,string,reverse,100000,0.0620
QuickSort,string,reverse,1000000,2.9450
QuickSort,string,almost_sorted,10,0.0000
QuickSort,string,almost_sorted,100,0.0000
QuickSort,string,almost_sorted,1000,0.0000
QuickSort,string,almost_sorted,10000,0.0040
QuickSort,string,almost_sorted,100000,0.0630
QuickSort,string,almost_sorted,1000000,2.7770
QuickSort,string,half_sorted,10,0.0000
QuickSort,string,half_sorted,100,0.0000
QuickSort,string,half_sorted,1000,0.0000
QuickSort,string,half_sorted,10000,0.0060
QuickSort,string,half_sorted,100000,0.0730
QuickSort,string,half_sorted,1000000,2.0910
QuickSort,string,flat,10,0.0000
QuickSort,string,flat,100,0.0000
QuickSort,string,flat,1000,0.0000
QuickSort,string,flat,10000,0.0000
QuickSort,string,flat,100000,0.0110
QuickSort,string,flat,1000000,0.0470
HeapSort,int,random,10,0.0000
HeapSort,int,random,100,0.0000
HeapSort,int,random,1000,0.0000
HeapSort,int,random,10000,0.0030
HeapSort,int,random,100000,0.0340
HeapSort,int,random,1000000,0.4400
HeapSort,int,sorted,10,0.0000
HeapSort,int,sorted,100,0.0000
HeapSort,int,sorted,1000,0.0020
HeapSort,int,sorted,10000,0.0030
HeapSort,int,sorted,100000,0.0290
HeapSort,int,sorted,1000000,0.3570
HeapSort,int,reverse,10,0.0000
HeapSort,int,reverse,100,0.0000
HeapSort,int,reverse,1000,0.0000
HeapSort,int,reverse,10000,0.0010
HeapSort,int,reverse,100000,0.0300
HeapSort,int,reverse,1000000,0.3540
HeapSort,int,almost_sorted,10,0.0000
HeapSort,int,almost_sorted,100,0.0000
HeapSort,int,almost_sorted,1000,0.0000
HeapSort,int,almost_sorted,10000,0.0020
HeapSort,int,almost_sorted,100000,0.0300
HeapSort,int,almost_sorted,1000000,0.3550
HeapSort,int,half_sorted,10,0.0000
HeapSort,int,half_sorted,100,0.0000
HeapSort,int,half_sorted,1000,0.0000
HeapSort,int,half_sorted,10000,0.0030
HeapSort,int,half_sorted,100000,0.0340
HeapSort,int,half_sorted,1000000,0.3780
HeapSort,int,flat,10,0.0000
HeapSort,int,flat,100,0.0000
HeapSort,int,flat,1000,0.0000
HeapSort,int,flat,10000,0.0030
HeapSort,int,flat,100000,0.0270
HeapSort,int,flat,1000000,0.2770
HeapSort,float,random,10,0.0000
HeapSort,float,random,100,0.0000
HeapSort,float,random,1000,0.0000
HeapSort,float,random,10000,0.0030
HeapSort,float,random,100000,0.0330
HeapSort,float,random,1000000,0.4290
HeapSort,float,sorted,10,0.0000
HeapSort,float,sorted,100,0.0000
HeapSort,float,sorted,1000,0.0000
HeapSort,float,sorted,10000,0.0020
HeapSort,float,sorted,100000,0.0280
HeapSort,float,sorted,1000000,0.3490
HeapSort,float,reverse,10,0.0000
HeapSort,float,reverse,100,0.0000
HeapSort,float,reverse,1000,0.0000
HeapSort,float,reverse,10000,0.0020
HeapSort,float,reverse,100000,0.0260
HeapSort,float,reverse,1000000,0.3310
HeapSort,float,almost_sorted,10,0.0000
HeapSort,float,almost_sorted,100,0.0000
HeapSort,float,almost_sorted,1000,0.0020
HeapSort,float,almost_sorted,10000,0.0060
HeapSort,float,almost_sorted,100000,0.0270
HeapSort,float,almost_sorted,1000000,0.3540
HeapSort,float,half_sorted,10,0.0000
HeapSort,float,half_sorted,100,0.0000
HeapSort,float,half_sorted,1000,0.0010
HeapSort,float,half_sorted,10000,0.0020
HeapSort,float,half_sorted,100000,0.0290
HeapSort,float,half_sorted,1000000,0.3780
HeapSort,float,flat,10,0.0000
HeapSort,float,flat,100,0.0000
HeapSort,float,flat,1000,0.0000
HeapSort,float,flat,10000,0.0010
HeapSort,float,flat,100000,0.0260
HeapSort,float,flat,1000000,0.2700
HeapSort,string,random,10,0.0000
HeapSort,string,random,100,0.0000
HeapSort,string,random,1000,0.0010
HeapSort,string,random,10000,0.0050
HeapSort,string,random,100000,0.0580
HeapSort,string,random,1000000,1.3940
HeapSort,string,sorted,10,0.0000
HeapSort,string,sorted,100,0.0000
HeapSort,string,sorted,1000,0.0000
HeapSort,string,sorted,10000,0.0040
HeapSort,string,sorted,100000,0.0580
HeapSort,string,sorted,1000000,0.7130
HeapSort,string,reverse,10,0.0000
HeapSort,string,reverse,100,0.0000
HeapSort,string,reverse,1000,0.0010
HeapSort,string,reverse,10000,0.0040
HeapSort,string,reverse,100000,0.0590
HeapSort,string,reverse,1000000,0.7820
HeapSort,string,almost_sorted,10,0.0000
HeapSort,string,almost_sorted,100,0.0000
HeapSort,string,almost_sorted,1000,0.0000
HeapSort,string,almost_sorted,10000,0.0030
HeapSort,string,almost_sorted,100000,0.0620
HeapSort,string,almost_sorted,1000000,0.6990
HeapSort,string,half_sorted,10,0.0000
HeapSort,string,half_sorted,100,0.0000
HeapSort,string,half_sorted,1000,0.0000
HeapSort,string,half_sorted,10000,0.0040
HeapSort,string,half_sorted,100000,0.0860
HeapSort,string,half_sorted,1000000,1.4150
HeapSort,string,flat,10,0.0000
HeapSort,string,flat,100,0.0000
HeapSort,string,flat,1000,0.0000
HeapSort,string,flat,10000,0.0020
HeapSort,string,flat,100000,0.0360
HeapSort,string,flat,1000000,0.4380
